"fdp_list","power_list","power_eur_list","power_afr_list","power_homo_list"
0.175574278620273,0.38475,0.664,0.055,0.776
0.173549595249239,0.38325,0.664,0.053,0.772
0.175487991678025,0.38975,0.678,0.051,0.787
0.157542572878628,0.33175,0.497,0.113,0.672
0.153428928973707,0.30275,0.405,0.14,0.625
0.160207756652797,0.38375,0.508,0.293,0.686
0.146773957897526,0.211,0.227,0.031,0.553
0.173790666677811,0.3825,0.664,0.051,0.772
0.17381108957147,0.3835,0.664,0.055,0.771
0.17381108957147,0.3835,0.664,0.055,0.771
0.172829559786943,0.3805,0.653,0.063,0.762
0.175574278620273,0.386,0.665,0.055,0.78
0.173601392984353,0.482,0.364,0.697,0.816
0.174114876234041,0.38275,0.66,0.055,0.772
0.161208337558727,0.4275,0.523,0.428,0.708
0.175565247421586,0.38625,0.667,0.054,0.78
0.154534858828315,0.27675,0.396,0.046,0.624
0.174145707191701,0.38325,0.662,0.055,0.772
0.146453395247242,0.2105,0.229,0.03,0.55
0.161036896613495,0.4475,0.382,0.592,0.766
0.156966758765352,0.31375,0.473,0.088,0.652
0.171806449778439,0.48,0.311,0.74,0.818
0.142924487945577,0.227,0.268,0.04,0.567
0.173790666677811,0.3825,0.664,0.051,0.772
0.174296694415859,0.38325,0.662,0.055,0.772
0.174029312278298,0.3835,0.664,0.054,0.772
0.175479040525035,0.3865,0.667,0.055,0.78
0.157764943709219,0.33025,0.501,0.103,0.672
0.171921991408282,0.4765,0.315,0.726,0.814
0.156369449164227,0.31025,0.488,0.054,0.656
0.171963113022326,0.3785,0.648,0.064,0.758
0.17227061599154,0.38075,0.652,0.061,0.766
0.172828807276003,0.484,0.344,0.722,0.819
0.175400860120051,0.39,0.674,0.055,0.787
0.167428915595638,0.4815,0.303,0.756,0.818
0.162894753782051,0.4575,0.502,0.532,0.743
0.161883880483597,0.3405,0.536,0.091,0.69
0.174324829531623,0.3835,0.659,0.061,0.77
0.17581108957147,0.39025,0.675,0.055,0.787
0.175630027749193,0.3865,0.667,0.055,0.78
0.174150998196992,0.38375,0.662,0.058,0.771
0.175654137633341,0.3905,0.676,0.055,0.787
